"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting","Results (May 11, 2026-May 17, 2026)","Results (May 4, 2026-May 10, 2026)","Results Change","Results Change (%)","Result indicator","Reach (May 11, 2026-May 17, 2026)","Reach (May 4, 2026-May 10, 2026)","Reach Change","Reach Change (%)","Frequency (May 11, 2026-May 17, 2026)","Frequency (May 4, 2026-May 10, 2026)","Frequency Change","Frequency Change (%)","Cost per results (May 11, 2026-May 17, 2026)","Cost per results (May 4, 2026-May 10, 2026)","Cost per results Change","Cost per results Change (%)","Ad set budget (May 11, 2026-May 17, 2026)","Ad set budget (May 4, 2026-May 10, 2026)","Ad set budget Change","Ad set budget Change (%)","Ad set budget type","Amount spent (AUD) (May 11, 2026-May 17, 2026)","Amount spent (AUD) (May 4, 2026-May 10, 2026)","Amount spent (AUD) Change","Amount spent (AUD) Change (%)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking","Impressions (May 11, 2026-May 17, 2026)","Impressions (May 4, 2026-May 10, 2026)","Impressions Change","Impressions Change (%)","CPM (cost per 1,000 impressions) (AUD) (May 11, 2026-May 17, 2026)","CPM (cost per 1,000 impressions) (AUD) (May 4, 2026-May 10, 2026)","CPM (cost per 1,000 impressions) (AUD) Change","CPM (cost per 1,000 impressions) (AUD) Change (%)","Link clicks (May 11, 2026-May 17, 2026)","Link clicks (May 4, 2026-May 10, 2026)","Link clicks Change","Link clicks Change (%)",shop_clicks,"CPC (cost per link click) (AUD) (May 11, 2026-May 17, 2026)","CPC (cost per link click) (AUD) (May 4, 2026-May 10, 2026)","CPC (cost per link click) (AUD) Change","CPC (cost per link click) (AUD) Change (%)","CTR (link click-through rate)","Clicks (all) (May 11, 2026-May 17, 2026)","Clicks (all) (May 4, 2026-May 10, 2026)","Clicks (all) Change","Clicks (all) Change (%)","CTR (all) (May 11, 2026-May 17, 2026)","CTR (all) (May 4, 2026-May 10, 2026)","CTR (all) Change","CTR (all) Change (%)","CPC (all) (AUD) (May 11, 2026-May 17, 2026)","CPC (all) (AUD) (May 4, 2026-May 10, 2026)","CPC (all) (AUD) Change","CPC (all) (AUD) Change (%)","Landing page views (May 11, 2026-May 17, 2026)","Landing page views (May 4, 2026-May 10, 2026)","Landing page views Change","Landing page views Change (%)","Cost per landing page view (AUD) (May 11, 2026-May 17, 2026)","Cost per landing page view (AUD) (May 4, 2026-May 10, 2026)","Cost per landing page view (AUD) Change","Cost per landing page view (AUD) Change (%)"
2026-05-11,2026-05-17,"24/7 Access",active,"7-day click or 1-day view",4,,4,,actions:link_click,408,,408,,1.071078,,1.07,,0.465,,0.47,,20,"Using campaign budget",20,,Daily,1.86,,1.86,,Ongoing,-,-,-,437,,437,,4.256293,,4.26,,4,,4,,,0.465,,0.47,,0.915332,14,,14,,3.203661,,3.2,,0.132857,,0.13,,1,,1,,1.86,,1.86,
2026-05-11,2026-05-17,"CB Fly",active,"7-day click or 1-day view",44,333,-289,-86.79,actions:link_click,1693,20561,-18868,-91.77,1.210278,1.311707,-0.1,-7.73,0.36363636,0.35951952,0,1.15,20,20,0,0,Daily,16,119.72,-103.72,-86.64,Ongoing,Average,"Above average","Above average",2049,26970,-24921,-92.4,7.808687,4.439006,3.37,75.91,44,333,-289,-86.79,,0.363636,0.35952,0,1.14,2.147389,77,446,-369,-82.74,3.757931,1.653689,2.1,127.25,0.207792,0.26843,-0.06,-22.59,16,139,-123,-88.49,1,0.861295,0.14,16.1
2026-05-11,2026-05-17,"Post: ""Earn those Easter treats with a FREE Easter...""",not_delivering,"1-day click",,6,-6,-100,actions:link_click,,287,-287,-100,,1.034843,-1.03,-100,,0.405,-0.41,-100,"Using campaign budget",20,-20,-100,0,,2.43,-2.43,-100,2026-04-06,-,-,-,,297,-297,-100,,8.181818,-8.18,-100,,6,-6,-100,,,0.405,-0.41,-100,,,9,-9,-100,,3.030303,-3.03,-100,,0.27,-0.27,-100,,3,-3,-100,,0.81,-0.81,-100
2026-05-11,2026-05-17,"Instagram post: Feeling tight, sore, or just need...",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-04-16,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-11,2026-05-17,"IG: Back in Motion Carousel 4/15 - 4/21",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-04-21,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-11,2026-05-17,"Instagram post: The long weekend is over. The...",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-04-22,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-11,2026-05-17,"Post: ""Deep heat. Deep recovery.""",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-05-01,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-11,2026-05-17,"FB: Feeling tight, sore, or just need... 4/30 -5/7",not_delivering,"7-day click or 1-day view",,,0,,,,,0,,,,0,,,,0,,"Using campaign budget","Using campaign budget",0,,0,,,0,,2026-05-07,-,-,-,,,0,,,,0,,,,0,,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,
2026-05-11,2026-05-17,"Instagram post: Looking for a Mother’s Day gift...",not_delivering,"7-day click or 1-day view",106,,106,,profile_visit_view,3945,,3945,,1.501648,,1.5,,0.38198113,,0.38,,"Using campaign budget","Using campaign budget",0,,0,40.49,,40.49,,2026-05-14,Average,-,-,5924,,5924,,6.834909,,6.83,,66,,66,,,0.613485,,0.61,,1.114112,66,,66,,1.114112,,1.11,,0.613485,,0.61,,,,0,,,,0,
2026-05-11,2026-05-17,"Instagram post: Show up, we’ll take care of the...",active,"7-day click or 1-day view",387,83,304,366.27,actions:post_engagement,6362,942,5420,575.37,1.246621,1.237792,0.01,0.71,0.12470284,0.30891566,-0.18,-59.63,"Using campaign budget","Using campaign budget",0,,0,48.26,25.64,22.62,88.22,2026-05-20,Average,"Above average","Above average",7931,1166,6765,580.19,6.084983,21.989708,-15.9,-72.33,387,19,368,1936.84,,0.124703,1.349474,-1.22,-90.76,4.879586,500,30,470,1566.67,6.304375,2.572899,3.73,145.03,0.09652,0.854667,-0.76,-88.71,280,,280,,0.172357,,0.17,
2026-05-11,2026-05-17,"Instagram post: You've been waiting for a sign....",not_delivering,"7-day click or 1-day view",247,156,91,58.33,actions:omni_landing_page_view,9007,4361,4646,106.54,1.726102,1.421463,0.3,21.43,0.60647773,0.20621795,0.4,194.1,"Using campaign budget","Using campaign budget",0,,0,149.8,32.17,117.63,365.65,2026-05-17,-,-,-,15547,6199,9348,150.8,9.635299,5.189547,4.45,85.67,247,175,72,41.14,,0.606478,0.183829,0.42,229.91,1.588731,289,270,19,7.04,1.85888,4.355541,-2.5,-57.32,0.518339,0.119148,0.4,335.04,122,156,-34,-21.79,1.227869,0.206218,1.02,495.42
