Search keyword
27 April 2026 - 3 May 2026
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
Malaga Bali massage,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
massage Malaga WA,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,2,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
massage near Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,17,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
relaxation massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,8,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
Deep tissue massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Hot stone massage Malaga,Not eligible,rarely served,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Foot reflexology Malaga,Not eligible,rarely served,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Ear candling Malaga,Not eligible,rarely served,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
belmont gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ellenbrook gym,Paused,paused; ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
malaga fitness,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
morley gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym malaga,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
malaga gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
mirrabooka gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym in malaga,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best gym in malaga,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
new malaga gym,Paused,paused; ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
beechboro gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ballajura gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
noranda gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dianella gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
landsdale gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
new gym mirrabooka,Not eligible,rarely served; ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
