Search keyword
11 May 2026 - 17 May 2026
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Avg. CPM
gym in malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,6,56,10.71%,3.73,22.37,73.68%,78.95%,0.00,0,0,0.00%,399.46
malaga gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,5,41,12.20%,2.16,10.80,52.38%,66.67%,0.00,0,0,0.00%,263.41
gyms malaga,Eligible,,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,3,13,23.08%,1.07,3.22,100.00%,100.00%,0.00,0,0,0.00%,247.69
beechboro gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,3,33,9.09%,2.38,7.14,33.33%,75.00%,0.88,0,8.11,29.36%,216.36
24 hour gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,3,65,4.62%,0.85,2.54,25.00%,71.88%,0.00,0,0,0.00%,39.07
Foot reflexology near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,3,24,12.50%,1.74,5.22,28.57%,71.43%,0.00,0,0,0.00%,217.50
chasing better malaga,Eligible,,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,2,7,28.57%,4.38,8.75,100.00%,100.00%,0.00,0,0,0.00%,1250.00
gym with sauna near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,2,21,9.52%,2.40,4.80,27.27%,90.91%,0.00,0,0,0.00%,228.57
gym with reformer pilates near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,2,4,50.00%,2.94,5.88,0.00%,66.67%,0.00,0,0,0.00%,1470.00
Malaga massage,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,2,62,3.23%,0.81,1.62,45.45%,54.55%,0.00,1,0,0.00%,26.13
mirrabooka gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,1,27,3.70%,1.75,1.75,14.29%,78.57%,0.00,0,0,0.00%,64.81
gyms malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,1,17,5.88%,1.79,1.79,100.00%,100.00%,0.00,0,0,0.00%,105.29
dianella gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,1,26,3.85%,2.43,2.43,0.00%,66.67%,0.00,0,0,0.00%,93.46
gym with creche near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,1,3,33.33%,1.11,1.11,0.00%,100.00%,0.00,0,0,0.00%,370.00
pilates and gym near me,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,1,31,3.23%,0.34,0.34,33.33%,66.67%,0.00,0,0,0.00%,10.97
Hot stone massage near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,1,9,11.11%,1.17,1.17,66.67%,100.00%,0.00,0,0,0.00%,130.42
relaxation massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,1,17,5.88%,0.78,0.78,33.33%,33.33%,0.00,0,0,0.00%,45.88
belmont gym,Paused,paused; low quality,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ellenbrook gym,Paused,paused,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym malaga,Paused,paused,Exact match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best gym in malaga,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,5,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
new malaga gym,Paused,paused; unknown,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ballajura gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,20,0.00%,0,0.00,50.00%,70.00%,0.00,0,0,0,0.00
noranda gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,7,0.00%,0,0.00,75.00%,75.00%,0.00,0,0,0,0.00
landsdale gym,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,20,0.00%,0,0.00,22.22%,66.67%,0.00,0,0,0,0.00
new gym mirrabooka,Not eligible,rarely served,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gyms in malaga wa,Eligible,,Phrase match,Malaga Gym,Malaga Gym,AUD,0.01,0,19,0.00%,0,0.00,50.00%,66.67%,0.00,0,0,0,0.00
24 hour fitness,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,6,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
best gym,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,7,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
24 hour fitness near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best fitness,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
nearest fitness,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,27,0.00%,0,0.00,0.00%,57.14%,0.00,0,0,0,0.00
gym with creche,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,0,8,0.00%,0,0.00,50.00%,83.33%,0.00,0,0,0,0.00
gym with childcare near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym with sauna perth,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,14,0.00%,0,0.00,12.50%,100.00%,0.00,0,0,0,0.00
fifo gym membership,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,0,3,0.00%,0,0.00,50.00%,50.00%,0.00,0,0,0,0.00
24 hour gym malaga,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
fifo gym membership perth,Eligible,,Exact match,Gym Geo,Gym,AUD,0.01,0,1,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
gym with ice bath near me,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym with sauna and ice bath,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,6,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
fifo gym membership perth,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
reformer pilates malaga,Eligible,,Phrase match,Gym Geo,Gym,AUD,0.01,0,5,0.00%,0,0.00,0,0,0.00,0,0,0,0.00
no lock in gym malaga,Not eligible,rarely served,Phrase match,Gym Geo,Gym,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Deep tissue massage near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,26,0.00%,0,0.00,7.69%,92.31%,0.00,0,0,0,0.00
remedial massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,2,0.00%,0,0.00,0.00%,100.00%,0.00,0,0,0,0.00
sports massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Balinese massage near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,8,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0,0.00
Ear candling near me,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Malaga Bali massage,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
massage Malaga WA,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,6,0.00%,0,0.00,0.00%,50.00%,0.00,0,0,0,0.00
massage near Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,20,0.00%,0,0.00,33.33%,66.67%,0.00,0,0,0,0.00
Deep tissue massage Malaga,Eligible,,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Hot stone massage Malaga,Not eligible,rarely served,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Foot reflexology Malaga,Not eligible,rarely served,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
Ear candling Malaga,Not eligible,rarely served,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
belmont gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ellenbrook gym,Paused,paused; ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
malaga fitness,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
morley gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym malaga,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
malaga gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
mirrabooka gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
gym in malaga,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
best gym in malaga,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
new malaga gym,Paused,paused; ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
beechboro gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
ballajura gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
noranda gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
dianella gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
landsdale gym,Not eligible,ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
new gym mirrabooka,Not eligible,rarely served; ad group removed,Phrase match,Malaga Gym,Malaga Massage,AUD,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0,0
